Title,Id,ReleaseDate
Free Birds,175574,2013-11-01
Into Pitch Black,244839,2000-01-30
The Expendables 2,76163,2012-08-17
The Lord of the Rings: The Fellowship of the Ring,120,2001-12-19
Walk of Shame,187596,2014-05-02
Copa de Elite,243451,2014-04-18
Calvary,157832,2014-04-11
Oblivion,75612,2013-04-18
Elysium,68724,2013-08-09
War Story,246013,2014-01-19
Despicable Me 2,93456,2013-07-02
Teenage Mutant Ninja Turtles,98566,2014-08-08
Heatstroke,278334,2014-07-04
Second Chances,212762,2013-07-27
12 Years a Slave,76203,2013-10-30
Locke,210479,2014-04-18
Jack et la mécanique du coeur,204436,2014-09-24
The Hobbit: An Unexpected Journey,49051,2012-12-14
Caligola,9453,1979-08-14
2 Guns,136400,2013-08-02
Frontera,259611,2014-09-05
Spider-Man,557,2002-05-02
Cloudy with a Chance of Meatballs 2,109451,2013-09-27
Pirates of the Caribbean: The Curse of the Black Pearl,22,2003-07-09
Underworld: Awakening,52520,2012-01-18
Swelter,256687,2014-06-18
Dawn of the Planet of the Apes,119450,2014-07-11
Cirque du Freak: The Vampire's Assistant,24418,2009-10-23
Terminator: Genisys,87101,2015-07-01
World War Z,72190,2013-06-21
Rob the Mob,243935,2014-03-21
The Purge: Anarchy,238636,2014-07-18
Night Moves,157823,2014-05-20
Dragonwolf,238301,2013-10-30
Hercules,184315,2014-07-25
The Angriest Man in Brooklyn,152790,2014-05-23
Terminator Salvation,534,2009-05-20
Grudge Match,64807,2013-12-25
A Good Day to Die Hard,47964,2013-02-14
S.O.S Mulheres ao Mar,227961,2014-01-24
Alemão,227933,2014-02-07
Evil Feed,224951,2013-10-23
Inception,27205,2010-07-16
The Look of Love,158914,2013-04-26
A Case of You,174316,2013-11-06
Hammer of the Gods,192538,2013-07-05
How to Train Your Dragon,10191,2010-03-24
Monsters University,62211,2013-06-21
"King Crimson: Live in Argentina, 1994",290784,2012-01-01
Madagascar 3: Europe's Most Wanted,80321,2012-06-08
The Croods,49519,2013-03-21
Barbie: A Fashion Fairytale,44874,2010-09-14
The Last Light,273743,2014-06-01
Taken 2,82675,2012-10-04
Lone Survivor,193756,2013-12-24
Percy Jackson: Sea of Monsters,76285,2013-08-07
Rio,46195,2011-04-15
劇場版 仮面ライダー鎧武 サッカー大決戦!黄金の果実争奪杯!,272158,2014-06-19
The Lord of the Rings: The Two Towers,121,2002-12-18
